HTTP:   ;POST /api2/json/nodes/{node}/qemu;;;
;;;;
CLI:;pvesh create /nodes/{node}/qemu;;;
Required;;;;
node;string;;<string>;The cluster node name.
vmid;integer;;<integer> (100 - 999999999);The (unique) ID of the VM.
Optional;;;;
acpi;boolean;1;<boolean>;Enable/disable ACPI.
affinity;string;;<string>;List of host cores used to execute guest processes, for example: 0,5,8-11
agent;string;;[enabled=]<1|0> [,freeze-fs-on-backup=<1|0>] [,fstrim_cloned_disks=<1|0>] [,type=<virtio|isa>];Enable/disable communication with the QEMU Guest Agent and its properties.
amd-sev;string;;[type=]<sev-type> [,allow-smt=<1|0>] [,kernel-hashes=<1|0>] [,no-debug=<1|0>] [,no-key-sharing=<1|0>];Secure Encrypted Virtualization (SEV) features by AMD CPUs
arch;enum;;x86_64 | aarch64;Virtual processor architecture. Defaults to the host.
archive;string;;<string>;The backup archive. Either the file system path to a .tar or .vma file (use '-' to pipe data from stdin) or a proxmox storage backup volume identifier.
args;string;;<string>;Arbitrary arguments passed to kvm, for example: args: -no-reboot -smbios 'type=0,vendor=FOO' NOTE: this option is for experts only.
audio0;string;;device=<ich9-intel-hda|intel-hda|AC97> [,driver=<spice|none>];Configure a audio device, useful in combination with QXL/Spice.
autostart;boolean;0;<boolean>;Automatic restart after crash (currently ignored).
balloon;integer;;<integer> (0 - N);Amount of target RAM for the VM in MiB. Using zero disables the ballon driver.
bios;enum;seabios;seabios | ovmf;Select BIOS implementation.
boot;string;;"[[legacy=]<[acdn]{1,4}>] [,order=<device[;device...]>]";Specify guest boot order. Use the 'order=' sub-property as usage with no key or 'legacy=' is deprecated.
bootdisk;string;;pve-qm-bootdisk;"Enable booting from specified disk. Deprecated: Use 'boot: order=foo;bar' instead."
bwlimit;integer;restore limit from datacenter or storage config;<integer> (0 - N);Override I/O bandwidth limit (in KiB/s).
cdrom;string;;<volume>;This is an alias for option -ide2
cicustom;string;;[meta=<volume>] [,network=<volume>] [,user=<volume>] [,vendor=<volume>];cloud-init: Specify custom files to replace the automatically generated ones at start.
cipassword;string;;<string>;cloud-init: Password to assign the user. Using this is generally not recommended. Use ssh keys instead. Also note that older cloud-init versions do not support hashed passwords.
citype;enum;;configdrive2 | nocloud | opennebula;Specifies the cloud-init configuration format. The default depends on the configured operating system type (`ostype`. We use the `nocloud` format for Linux, and `configdrive2` for windows.
ciupgrade;boolean;1;<boolean>;cloud-init: do an automatic package upgrade after the first boot.
ciuser;string;;<string>;cloud-init: User name to change ssh keys and password for instead of the image's configured default user.
cores;integer;1;<integer> (1 - N);The number of cores per socket.
cpu;string;;"[[cputype=]<string>] [,flags=<+FLAG[;-FLAG...]>] [,hidden=<1|0>] [,hv-vendor-id=<vendor-id>] [,phys-bits=<8-64|host>] [,reported-model=<enum>]";Emulated CPU type.
cpulimit;number;0;<number> (0 - 128);Limit of CPU usage. NOTE: If the computer has 2 CPUs, it has total of '2' CPU time. Value '0' indicates no CPU limit.
